GammaVision Nuclide Library Suspect.Lib                         Page:   1
    Created: 18/8/2005  11:28:06
     Edited: 18/8/2005  16:35:28

      Be-7         53.29 Days     0.1000 ---NPC--
      477.61keV        10.39%            G-------

     Na-22         2.602 Yrs.     0.1000 -F---C--
      511.00keV       179.79%            --P-----
     1274.53keV       99.944%            G-------

     Na-24         14.96 Hrs.     0.1000 TF------
     1369.00keV          100%            G-------
     2754.00keV       99.944%            G-------
     3866.00keV        0.052%            G-------
      996.80keV       0.0014%            G-------
     4238.00keV       0.0011%            G-------
     2870.00keV       0.0003%            G-------

     Cl-38         37.24 Min.     0.1000 TF------
     2167.00keV         42.4%            G-------
     1643.00keV         31.9%            G-------

     Ar-41         109.3 Min.     0.1000 TF------
     1294.00keV         99.1%            G-------
     1677.00keV        0.052%            G-------

      K-40    1.277E+009 Yrs.     0.1000 ---N----
     1461.00keV        10.67%            G-------

      K-42         12.36 Hrs.     0.1000 TF------
     1525.00keV        18.08%            G-------
      312.60keV        0.336%            G-------
      899.40keV        0.052%            G-------
     1922.00keV        0.041%            G-------
     1023.00keV      0.02007%            G-------
     2424.00keV         0.02%            G-------
      694.50keV     0.003254%            G-------
     1228.00keV      0.00235%            G-------
      586.90keV      0.00019%            G-------

     Sc-46         83.79 Days     0.1000 TF------
     1120.55keV       99.987%            G-------
      889.28keV       99.984%            G-------

     Cr-51          27.7 Days     0.1000 TF------
      320.08keV        10.08%            G-------

     Mn-54         312.3 Days     0.1000 -F---C--
      834.85keV       99.976%            G-------

     Fe-59          44.5 Days     0.1000 TF------
     1099.25keV         56.5%            G-------
     1291.60keV         43.2%            G-------
      192.35keV         3.08%            G-------
      142.65keV         1.02%            G-------
      334.80keV         0.27%            G-------
     1481.70keV        0.059%            G-------
      382.00keV        0.018%            G-------
      189.00keV       0.0009%            G-------

     Co-56         77.27 Days     0.1000 -----C--
      846.77keV          100%            G-------
     1238.28keV        66.07%            G-------
      511.00keV        38.03%            G-------
     2598.46keV        16.96%            G-------
     1771.35keV        15.48%            G-------
     1037.84keV        14.13%            G-------
     2034.76keV         7.77%            G-------
     3253.42keV         7.63%            G-------
     1360.21keV        4.255%            G-------
     3201.96keV         3.13%            G-------
     2015.18keV        3.029%            G-------
     1175.10keV        2.239%            G-------
     3272.99keV         1.78%            G-------
      977.37keV         1.43%            G-------
     3009.60keV        0.954%            G-------
     3451.15keV         0.93%            G-------
     1963.71keV        0.706%            G-------

     Co-57         271.8 Days     0.1000 ----PC--
      122.06keV         85.6%            G-------
      136.47keV        10.68%            G-------
       14.41keV         9.16%            G-------
      692.41keV        0.149%            G-------
      570.09keV       0.0161%            G-------
      706.54keV        0.005%            G-------
      339.69keV       0.0037%            G-------
      352.33keV        0.003%            G-------
      366.80keV       0.0012%            G-------
      230.40keV       0.0004%            G-------

     Co-58         70.82 Days     0.1000 -F---C--
      810.78keV       99.448%            G-------
      511.00keV        29.92%            G-------
      863.96keV        0.683%            G-------
     1674.73keV        0.518%            G-------

     Co-60         5.271 Yrs.     0.1000 TF------
     1332.50keV      99.9856%            G-------
     1173.24keV      99.9736%            G-------
      826.28keV       0.0076%            G-------
      346.93keV       0.0076%            G-------
     2158.77keV      0.00111%            G-------

